year,city,country,Boston_avg_temp,10years_Moving Average_Boston_temp,Global_avg_temp,10years_Moving_avg_Global_temp
1743,Boston,United States,1.19,,,
1744,Boston,United States,9.63,,,
1745,Boston,United States,-1.37,,,
1746,Boston,United States,,,,
1747,Boston,United States,,,,
1748,Boston,United States,,,,
1749,Boston,United States,,,,
1750,Boston,United States,7.88,,8.72,
1751,Boston,United States,8.6,,7.98,
1752,Boston,United States,0.36,4.381666667,5.78,7.493333333
1753,Boston,United States,7.35,5.408333333,8.39,7.7175
1754,Boston,United States,7.75,5.095,8.47,7.868
1755,Boston,United States,4.28,6.036666667,8.36,7.95
1756,Boston,United States,7.76,6.282857143,8.85,8.078571429
1757,Boston,United States,6.65,6.32875,9.02,8.19625
1758,Boston,United States,6.09,6.302222222,6.74,8.034444444
1759,Boston,United States,6.8,6.352,7.99,8.03
1760,Boston,United States,5.53,6.117,7.19,7.877
1761,Boston,United States,8.05,6.062,8.77,7.956
1762,Boston,United States,7.42,6.768,8.61,8.239
1763,Boston,United States,4.99,6.532,7.5,8.15
1764,Boston,United States,7.36,6.493,8.4,8.143
1765,Boston,United States,6.73,6.738,8.25,8.132
1766,Boston,United States,7.96,6.758,8.41,8.088
1767,Boston,United States,6.28,6.721,8.22,8.008
1768,Boston,United States,6.74,6.786,6.78,8.012
1769,Boston,United States,6.94,6.8,7.69,7.982
1770,Boston,United States,6.99,6.946,7.69,8.032
1771,Boston,United States,7.72,6.913,7.85,7.94
1772,Boston,United States,7.44,6.915,8.19,7.898
1773,Boston,United States,7.97,7.213,8.22,7.97
1774,Boston,United States,7.35,7.212,8.77,8.007
1775,Boston,United States,8.08,7.347,9.18,8.1
1776,Boston,United States,6.83,7.234,8.3,8.089
1777,Boston,United States,6.56,7.262,8.26,8.093
1778,Boston,United States,4.75,7.063,8.54,8.269
1779,Boston,United States,-2.31,6.138,8.98,8.398
1780,Boston,United States,,6.043333333,9.43,8.572
1781,Boston,United States,7.61,6.031111111,8.1,8.597
1782,Boston,United States,6.98,5.98,7.9,8.568
1783,Boston,United States,6.64,5.832222222,7.68,8.514
1784,Boston,United States,6.24,5.708888889,7.86,8.423
1785,Boston,United States,6.32,5.513333333,7.36,8.241
1786,Boston,United States,6.81,5.511111111,8.26,8.237
1787,Boston,United States,6.81,5.538888889,8.03,8.214
1788,Boston,United States,7.6,5.855555556,8.45,8.205
1789,Boston,United States,7.25,6.917777778,8.33,8.14
1790,Boston,United States,7.22,6.948,7.98,7.995
1791,Boston,United States,7.11,6.898,8.23,8.008
1792,Boston,United States,6.47,6.847,8.09,8.027
1793,Boston,United States,7.81,6.964,8.23,8.082
1794,Boston,United States,7.76,7.116,8.53,8.149
1795,Boston,United States,7.02,7.186,8.35,8.248
1796,Boston,United States,6.82,7.187,8.27,8.249
1797,Boston,United States,6.7,7.176,8.51,8.297
1798,Boston,United States,7.37,7.153,8.67,8.319
1799,Boston,United States,6.85,7.113,8.51,8.337
1800,Boston,United States,7.59,7.15,8.48,8.387
1801,Boston,United States,8.01,7.24,8.59,8.423
1802,Boston,United States,8.24,7.417,8.58,8.472
1803,Boston,United States,7.81,7.417,8.5,8.499
1804,Boston,United States,7.43,7.384,8.84,8.53
1805,Boston,United States,8.26,7.508,8.56,8.551
1806,Boston,United States,7.05,7.531,8.43,8.567
1807,Boston,United States,6.89,7.55,8.28,8.544
1808,Boston,United States,7.31,7.544,7.63,8.44
1809,Boston,United States,6.57,7.516,7.08,8.297
1810,Boston,United States,7.24,7.481,6.92,8.141
1811,Boston,United States,7.43,7.423,6.86,7.968
1812,Boston,United States,5.48,7.147,7.05,7.815
1813,Boston,United States,6.61,7.027,7.74,7.739
1814,Boston,United States,6.36,6.92,7.59,7.614
1815,Boston,United States,6.13,6.707,7.24,7.482
1816,Boston,United States,5.83,6.585,6.94,7.333
1817,Boston,United States,5.57,6.453,6.98,7.203
1818,Boston,United States,5.91,6.313,7.83,7.223
1819,Boston,United States,6.99,6.355,7.37,7.252
1820,Boston,United States,6.8,6.311,7.62,7.322
1821,Boston,United States,6.52,6.22,8.09,7.445
1822,Boston,United States,7.37,6.409,8.19,7.559
1823,Boston,United States,6.26,6.374,7.72,7.557
1824,Boston,United States,7.04,6.442,8.55,7.653
1825,Boston,United States,8,6.629,8.39,7.768
1826,Boston,United States,7.84,6.83,8.36,7.91
1827,Boston,United States,6.96,6.969,8.81,8.093
1828,Boston,United States,8.45,7.223,8.17,8.127
1829,Boston,United States,6.74,7.198,7.94,8.184
1830,Boston,United States,7.72,7.29,8.52,8.274
1831,Boston,United States,7.15,7.353,7.64,8.229
1832,Boston,United States,6.67,7.283,7.45,8.155
1833,Boston,United States,6.76,7.333,8.01,8.184
1834,Boston,United States,6.91,7.32,8.15,8.144
1835,Boston,United States,5.97,7.117,7.39,8.044
1836,Boston,United States,5.28,6.861,7.7,7.978
1837,Boston,United States,5.59,6.724,7.38,7.835
1838,Boston,United States,6.36,6.515,7.51,7.769
1839,Boston,United States,6.95,6.536,7.63,7.738
1840,Boston,United States,6.98,6.462,7.8,7.666
1841,Boston,United States,6.83,6.43,7.69,7.671
1842,Boston,United States,6.93,6.456,8.02,7.728
1843,Boston,United States,6.3,6.41,8.17,7.744
1844,Boston,United States,6.57,6.376,7.65,7.694
1845,Boston,United States,7.01,6.48,7.85,7.74
1846,Boston,United States,7.37,6.689,8.55,7.825
1847,Boston,United States,7.12,6.842,8.09,7.896
1848,Boston,United States,7.06,6.912,7.98,7.943
1849,Boston,United States,6.58,6.875,7.98,7.978
1850,Boston,United States,6.72,6.849,7.9,7.988
1851,Boston,United States,6.61,6.827,8.18,8.037
1852,Boston,United States,6.69,6.803,8.1,8.045
1853,Boston,United States,7.12,6.885,8.04,8.032
1854,Boston,United States,6.95,6.923,8.21,8.088
1855,Boston,United States,6.92,6.914,8.11,8.114
1856,Boston,United States,5.92,6.769,8,8.059
1857,Boston,United States,6.64,6.721,7.76,8.026
1858,Boston,United States,6.56,6.671,8.1,8.038
1859,Boston,United States,6.57,6.67,8.25,8.065
1860,Boston,United States,6.9,6.688,7.96,8.071
1861,Boston,United States,7.04,6.731,7.85,8.038
1862,Boston,United States,6.77,6.739,7.56,7.984
1863,Boston,United States,6.92,6.719,8.11,7.991
1864,Boston,United States,7.14,6.738,7.98,7.968
1865,Boston,United States,7.49,6.795,8.18,7.975
1866,Boston,United States,6.77,6.88,8.29,8.004
1867,Boston,United States,6.42,6.858,8.44,8.072
1868,Boston,United States,5.89,6.791,8.25,8.087
1869,Boston,United States,6.68,6.802,8.43,8.105
1870,Boston,United States,7.91,6.903,8.2,8.129
1871,Boston,United States,6.63,6.862,8.12,8.156
1872,Boston,United States,6.41,6.826,8.19,8.219
1873,Boston,United States,6,6.734,8.35,8.243
1874,Boston,United States,6.47,6.667,8.43,8.288
1875,Boston,United States,5.28,6.446,7.86,8.256
1876,Boston,United States,6.83,6.452,8.08,8.235
1877,Boston,United States,7.79,6.589,8.54,8.245
1878,Boston,United States,8.01,6.801,8.83,8.303
1879,Boston,United States,6.85,6.818,8.17,8.277
1880,Boston,United States,7.61,6.788,8.12,8.269
1881,Boston,United States,7.35,6.86,8.27,8.284
1882,Boston,United States,6.89,6.908,8.13,8.278
1883,Boston,United States,6.18,6.926,7.98,8.241
1884,Boston,United States,7.08,6.987,7.77,8.175
1885,Boston,United States,6.33,7.092,7.92,8.181
1886,Boston,United States,6.95,7.104,7.95,8.168
1887,Boston,United States,6.8,7.005,7.91,8.105
1888,Boston,United States,5.89,6.793,8.09,8.031
1889,Boston,United States,7.98,6.906,8.32,8.046
1890,Boston,United States,7.15,6.86,7.97,8.031
1891,Boston,United States,7.91,6.916,8.02,8.006
1892,Boston,United States,7.23,6.95,8.07,8
1893,Boston,United States,6.43,6.975,8.06,8.008
1894,Boston,United States,7.75,7.042,8.16,8.047
1895,Boston,United States,7.27,7.136,8.15,8.07
1896,Boston,United States,7.28,7.169,8.21,8.096
1897,Boston,United States,7.53,7.242,8.29,8.134
1898,Boston,United States,8.01,7.454,8.18,8.143
1899,Boston,United States,7.53,7.409,8.4,8.151
1900,Boston,United States,7.95,7.489,8.5,8.204
1901,Boston,United States,7.29,7.427,8.54,8.256
1902,Boston,United States,7.46,7.45,8.3,8.279
1903,Boston,United States,7.35,7.542,8.22,8.295
1904,Boston,United States,5.85,7.352,8.09,8.288
1905,Boston,United States,6.83,7.308,8.23,8.296
1906,Boston,United States,7.61,7.341,8.38,8.313
1907,Boston,United States,6.48,7.236,7.95,8.279
1908,Boston,United States,7.85,7.22,8.19,8.28
1909,Boston,United States,7.43,7.21,8.18,8.258
1910,Boston,United States,7.62,7.177,8.22,8.23
1911,Boston,United States,7.73,7.221,8.18,8.194
1912,Boston,United States,7.16,7.191,8.17,8.181
1913,Boston,United States,8.58,7.314,8.3,8.189
1914,Boston,United States,6.89,7.418,8.59,8.239
1915,Boston,United States,7.98,7.533,8.59,8.275
1916,Boston,United States,7.05,7.477,8.23,8.26
1917,Boston,United States,6.04,7.433,8.02,8.267
1918,Boston,United States,7.17,7.365,8.13,8.261
1919,Boston,United States,7.9,7.412,8.38,8.281
1920,Boston,United States,7.16,7.366,8.36,8.295
1921,Boston,United States,8.52,7.445,8.57,8.334
1922,Boston,United States,7.71,7.5,8.41,8.358
1923,Boston,United States,7.07,7.349,8.42,8.37
1924,Boston,United States,6.88,7.348,8.51,8.362
1925,Boston,United States,7.68,7.318,8.53,8.356
1926,Boston,United States,6.39,7.252,8.73,8.406
1927,Boston,United States,7.99,7.447,8.52,8.456
1928,Boston,United States,7.81,7.511,8.63,8.506
1929,Boston,United States,7.7,7.491,8.24,8.492
1930,Boston,United States,8.21,7.596,8.63,8.519
1931,Boston,United States,8.74,7.618,8.72,8.534
1932,Boston,United States,8.19,7.666,8.71,8.564
1933,Boston,United States,7.89,7.748,8.34,8.556
1934,Boston,United States,7.29,7.789,8.63,8.568
1935,Boston,United States,7.3,7.751,8.52,8.567
1936,Boston,United States,7.58,7.87,8.55,8.549
1937,Boston,United States,8.26,7.897,8.7,8.567
1938,Boston,United States,8.38,7.954,8.86,8.59
1939,Boston,United States,7.55,7.939,8.76,8.642
1940,Boston,United States,6.68,7.786,8.76,8.655
1941,Boston,United States,8.16,7.728,8.77,8.66
1942,Boston,United States,8.03,7.712,8.73,8.662
1943,Boston,United States,7.22,7.645,8.76,8.704
1944,Boston,United States,7.87,7.703,8.85,8.726
1945,Boston,United States,7.96,7.769,8.58,8.732
1946,Boston,United States,8.28,7.839,8.68,8.745
1947,Boston,United States,7.96,7.809,8.8,8.755
1948,Boston,United States,7.68,7.739,8.75,8.744
1949,Boston,United States,9.3,7.914,8.59,8.727
1950,Boston,United States,7.85,8.031,8.37,8.688
1951,Boston,United States,8.27,8.042,8.63,8.674
1952,Boston,United States,8.58,8.097,8.64,8.665
1953,Boston,United States,9.33,8.308,8.87,8.676
1954,Boston,United States,8.12,8.333,8.56,8.647
1955,Boston,United States,8.2,8.357,8.63,8.652
1956,Boston,United States,7.45,8.274,8.28,8.612
1957,Boston,United States,8.51,8.329,8.73,8.605
1958,Boston,United States,7.2,8.281,8.77,8.607
1959,Boston,United States,8.41,8.192,8.73,8.621
1960,Boston,United States,7.81,8.188,8.58,8.642
1961,Boston,United States,7.94,8.155,8.8,8.659
1962,Boston,United States,7.09,8.006,8.75,8.67
1963,Boston,United States,7.44,7.817,8.86,8.669
1964,Boston,United States,7.74,7.779,8.41,8.654
1965,Boston,United States,7.49,7.708,8.53,8.644
1966,Boston,United States,7.77,7.74,8.6,8.676
1967,Boston,United States,7.34,7.623,8.7,8.673
1968,Boston,United States,7.55,7.658,8.52,8.648
1969,Boston,United States,7.97,7.614,8.6,8.635
1970,Boston,United States,7.7,7.603,8.7,8.647
1971,Boston,United States,7.79,7.588,8.6,8.627
1972,Boston,United States,7.19,7.598,8.5,8.602
1973,Boston,United States,8.97,7.751,8.95,8.611
1974,Boston,United States,7.86,7.763,8.47,8.617
1975,Boston,United States,8.35,7.849,8.74,8.638
1976,Boston,United States,7.52,7.824,8.35,8.613
1977,Boston,United States,7.88,7.878,8.85,8.628
1978,Boston,United States,7.07,7.83,8.69,8.645
1979,Boston,United States,8.32,7.865,8.73,8.658
1980,Boston,United States,7.54,7.849,8.98,8.686
1981,Boston,United States,8.02,7.872,9.17,8.743
1982,Boston,United States,7.62,7.915,8.64,8.757
1983,Boston,United States,8.54,7.872,9.03,8.765
1984,Boston,United States,8.3,7.916,8.69,8.787
1985,Boston,United States,7.86,7.867,8.66,8.779
1986,Boston,United States,7.84,7.899,8.83,8.827
1987,Boston,United States,7.97,7.908,8.99,8.841
1988,Boston,United States,7.9,7.991,9.2,8.892
1989,Boston,United States,7.51,7.91,8.92,8.911
1990,Boston,United States,9.2,8.076,9.23,8.936
1991,Boston,United States,9.08,8.182,9.18,8.937
1992,Boston,United States,7.4,8.16,8.84,8.957
1993,Boston,United States,7.84,8.09,8.87,8.941
1994,Boston,United States,7.96,8.056,9.04,8.976
1995,Boston,United States,8.13,8.083,9.35,9.045
1996,Boston,United States,7.93,8.092,9.04,9.066
1997,Boston,United States,7.87,8.082,9.2,9.087
1998,Boston,United States,9.63,8.255,9.52,9.119
1999,Boston,United States,9.3,8.434,9.29,9.156
2000,Boston,United States,8,8.314,9.2,9.153
2001,Boston,United States,8.91,8.297,9.41,9.176
2002,Boston,United States,9.02,8.459,9.57,9.249
2003,Boston,United States,7.78,8.453,9.53,9.315
2004,Boston,United States,8.09,8.466,9.32,9.343
2005,Boston,United States,8.56,8.509,9.7,9.378
2006,Boston,United States,9.48,8.664,9.53,9.427
2007,Boston,United States,8.36,8.713,9.73,9.48
2008,Boston,United States,8.53,8.603,9.43,9.471
2009,Boston,United States,8.07,8.48,9.51,9.493
2010,Boston,United States,9.58,8.638,9.7,9.543
2011,Boston,United States,9.12,8.659,9.52,9.554
2012,Boston,United States,10.06,8.763,9.51,9.548
2013,Boston,United States,10.38,9.023,9.61,9.556
2014,Boston,United States,,9.126666667,9.57,9.581
2015,Boston,United States,,9.1975,9.83,9.594